name_store;city_store;address_store;timestamp;article;barcode;name;drink_type;price;old_price;date_discount;available;weight;strenght;fatness;pack;country;brand;manufacturer;url;url_img
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:21.634172;121312;;Ballantine's Finest;Виски;1790;1790;;True;;40;;1;Шотландия;Ballantine's;Ballantine's;https://simplewine.ru/catalog/product/jameson__viski_ballantayns_faynest_07/;https://simplewine.ru/upload/iblock/6df/6dfa0c4ba9c56b22dd069c6df85bf7f0.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:23.113261;113401;;Old Tom;Джин;1190;1190;;True;;43;;1;Соединенное Королевство;CITY OF LONDON;CITY OF LONDON;https://simplewine.ru/catalog/product/old_tom_2/;https://simplewine.ru/upload/iblock/925/925c27f0ae48c1df1d89fb088705a6a4.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:24.498435;126839;;Portobello Road London Dry Gin;Джин;440;440;;True;;42;;1;Соединенное Королевство;Portobello;Portobello;https://simplewine.ru/catalog/product/portobello_road_london_dry_gin_005_126839/;https://simplewine.ru/upload/iblock/332/33276f872a8d01c3d0f6ec6e9e76d157.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:25.826906;126844;;Portobello Road London Dry Gin;Джин;3790;3790;;True;;42;;1;Соединенное Королевство;Portobello;Portobello;https://simplewine.ru/catalog/product/portobello_road_london_dry_gin_07_126844/;https://simplewine.ru/upload/iblock/62f/62fe4ec0bbaeedc78aa858439b43cb98.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:27.366496;126846;;Portobello Road London Dry Gin in tube;Джин;3990;3990;;True;;42;;1;Соединенное Королевство;Portobello;Portobello;https://simplewine.ru/catalog/product/portobello_road_london_dry_gin_in_tube_07_126846/;https://simplewine.ru/upload/iblock/1aa/1aaef3cb11c8837c8f892b36fa789541.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:28.789805;126847;;Portobello Road Navy Strength Gin;Джин;3640;3640;;True;;57;;1;Соединенное Королевство;Portobello;Portobello;https://simplewine.ru/catalog/product/portobello_road_navy_strength_gin_05_126847/;https://simplewine.ru/upload/iblock/57e/57ee90eeffa69f52941639b14fa17c77.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:30.224110;126874;;Portobello Road Savoury Gin;Джин;4390;4390;;True;;42;;1;Соединенное Королевство;Portobello;Portobello;https://simplewine.ru/catalog/product/portobello_road_savoury_gin_07_126874/;https://simplewine.ru/upload/iblock/779/77978d97b9386c2b831291d903faa1cd.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:31.561427;99608;;Frapin VIP XO Grande Champagne 1er Grand Cru du Cognac;Коньяк;3990;3990;;True;;40;;1;Франция;Frapin;Frapin;https://simplewine.ru/catalog/product/frapin_vip_xo_grande_champagne_1er_grand_cru_du_cognac_005_2/;https://simplewine.ru/upload/iblock/484/konyak-frapin-vip-xo-grande-champagne-1er-grand-cru-du-cognac_5.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:33.094003;128768;;John Walker & Sons Bicentenary Blend;;91900;91900;;True;;46;;1;Соединенное Королевство;Johnnie Walker;Johnnie Walker;https://simplewine.ru/catalog/product/john_walker_sons_bicentenary_blend_07_128768/;https://simplewine.ru/upload/iblock/548/5483f5c52fe2539add558713b0a39250.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:34.526894;128772;; Johnnie Walker Blue Label Legendary Eight Exclusive Blend;;28900;28900;;True;;43;;1;Соединенное Королевство;Johnnie Walker;Johnnie Walker;https://simplewine.ru/catalog/product/johnnie_walker_blue_label_legendary_eightexclusive_blend_07_128772/;https://simplewine.ru/upload/iblock/24b/24bdce58eff8f7e4dda913c5f6f8bae0.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:35.960822;128773;;Johnnie Walker Blue Label Ghost and Rare ;;28900;28900;;True;;43;;1;Соединенное Королевство;Johnnie Walker;Johnnie Walker;https://simplewine.ru/catalog/product/johnnie_walker_blue_label_ghost_and_rare__07_128773/;https://simplewine.ru/upload/iblock/7a4/7a47800e0bf0bbb3d6ece6a2dde0fa91.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:37.429259;107740;;Ron Calados Dark;Ром;1540;1540;;True;;37;;1;Соединенное Королевство;Burlington Drinks Company;Burlington Drinks Company;https://simplewine.ru/catalog/product/ron_calados_dark/;https://simplewine.ru/upload/iblock/29c/rom-ron-calados-dark_1.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:38.824683;107742;;Ron Calados Dark;Ром;2120;2120;;True;;37;;1;Соединенное Королевство;Burlington Drinks Company;Burlington Drinks Company;https://simplewine.ru/catalog/product/ron_calados_dark_1/;https://simplewine.ru/upload/iblock/35b/rom-ron-calados-dark_3.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:40.421977;107745;;South Bank London Dry Gin;Джин;1490;1490;;True;;37;;1;Соединенное Королевство;Burlington Drinks Company;Burlington Drinks Company;https://simplewine.ru/catalog/product/south_bank_london_dry_gin/;https://simplewine.ru/upload/iblock/621/dzhin-south-bank-london-dry-gin_3.png
